HARGA,LT,LB,KT,KM,GARASI,KOTA
28000000000,1100,700,5,6,ADA,JAKSEL
19000000000,824,800,4,4,ADA,JAKSEL
4700000000,500,400,4,3,ADA,JAKSEL
4900000000,251,300,5,4,ADA,JAKSEL
28000000000,1340,575,4,5,ADA,JAKSEL
10000000000,460,300,4,4,ADA,JAKSEL
7600000000,278,350,4,4,ADA,JAKSEL
5250000000,511,300,3,2,ADA,JAKSEL
670000000,70,69,3,2,TIDAK ADA,JAKSEL
480000000,66,42,2,1,TIDAK ADA,JAKSEL
10700000000,449,500,6,7,ADA,JAKSEL
4200000000,109,188,2,3,ADA,JAKSEL
8500000000,320,250,4,4,ADA,JAKSEL
7000000000,384,400,4,4,ADA,JAKSEL
20000000000,462,645,5,6,ADA,JAKSEL
9500000000,212,300,4,4,ADA,JAKSEL
13400000000,342,450,5,4,ADA,JAKSEL
11000000000,410,700,4,4,ADA,JAKSEL
5800000000,144,285,4,3,ADA,JAKSEL
35000000000,985,400,4,3,ADA,JAKSEL
14000000000,780,500,3,4,ADA,JAKSEL
5000000000,217,450,4,4,ADA,JAKSEL
40000000000,1500,700,4,4,ADA,JAKSEL
7250000000,210,300,4,3,ADA,JAKSEL
5200000000,110,200,3,3,ADA,JAKSEL
25000000000,760,650,4,4,ADA,JAKSEL
5680000000,151,245,3,3,ADA,JAKSEL
10500000000,220,350,4,3,ADA,JAKSEL
7050000000,128,315,3,3,ADA,JAKSEL
9300000000,235,270,3,3,TIDAK ADA,JAKSEL
6500000000,100,250,4,3,ADA,JAKSEL
68000000000,470,1000,5,5,ADA,JAKSEL
3000000000,75,150,4,2,ADA,JAKSEL
85000000000,770,500,4,4,ADA,JAKSEL
19500000000,610,1000,6,5,ADA,JAKSEL
20900000000,754,500,4,4,ADA,JAKSEL
15500000000,440,350,4,3,ADA,JAKSEL
14000000000,410,800,4,4,ADA,JAKSEL
39000000000,973,1100,4,3,ADA,JAKSEL
8000000000,251,320,4,4,ADA,JAKSEL
20000000000,780,600,4,4,ADA,JAKSEL
17500000000,954,600,4,3,ADA,JAKSEL
34000000000,1186,900,6,5,ADA,JAKSEL
7500000000,186,380,4,4,ADA,JAKSEL
18500000000,358,500,4,5,ADA,JAKSEL
5000000000,217,200,4,3,ADA,JAKSEL
16000000000,535,600,4,4,ADA,JAKSEL
13000000000,330,500,3,3,ADA,JAKSEL
8000000000,250,320,4,3,ADA,JAKSEL
17500000000,477,530,4,4,ADA,JAKSEL
10500000000,282,450,4,4,ADA,JAKSEL
35500000000,1312,850,5,4,ADA,JAKSEL
16000000000,860,500,4,4,ADA,JAKSEL
11700000000,246,347,4,3,ADA,JAKSEL
18500000000,443,450,4,3,ADA,JAKSEL
17500000000,389,400,4,3,ADA,JAKSEL
6500000000,300,450,4,3,ADA,JAKSEL
18500000000,433,600,4,4,ADA,JAKSEL
25000000000,987,400,4,3,ADA,JAKSEL
23000000000,817,500,6,4,ADA,JAKSEL
12990000000,876,428,5,4,ADA,JAKSEL
15000000000,887,300,3,2,ADA,JAKSEL
13000000000,384,425,5,4,ADA,JAKSEL
33000000000,458,400,4,4,ADA,JAKSEL
9500000000,200,235,3,3,ADA,JAKSEL
5750000000,144,285,4,4,ADA,JAKSEL
19000000000,358,600,4,5,TIDAK ADA,JAKSEL
19000000000,550,480,4,4,ADA,JAKSEL
21500000000,950,300,5,4,ADA,JAKSEL
5200000000,164,140,3,3,ADA,JAKSEL
14000000000,460,400,4,3,ADA,JAKSEL
55000000000,1487,1200,6,4,ADA,JAKSEL
6250000000,158,400,4,2,ADA,JAKSEL
29000000000,1186,800,9,8,ADA,JAKSEL
8000000000,323,317,5,4,ADA,JAKSEL
8500000000,502,250,4,4,ADA,JAKSEL
18000000000,916,147,5,7,ADA,JAKSEL
4500000000,109,188,2,3,ADA,JAKSEL
10000000000,395,450,5,5,ADA,JAKSEL
4250000000,152,275,3,3,ADA,JAKSEL
4500000000,138,250,5,4,TIDAK ADA,JAKSEL
2800000000,100,150,3,3,TIDAK ADA,JAKSEL
15000000000,2010,800,4,3,ADA,JAKSEL
7800000000,188,367,3,3,ADA,JAKSEL
21000000000,500,525,4,5,ADA,JAKSEL
38000000000,1229,800,4,4,ADA,JAKSEL
29950000000,1000,600,4,4,ADA,JAKSEL
7500000000,350,350,6,6,TIDAK ADA,JAKSEL
25000000000,987,400,4,3,TIDAK ADA,JAKSEL
36000000000,626,500,5,3,ADA,JAKSEL
20000000000,472,650,6,5,TIDAK ADA,JAKSEL
29000000000,1186,600,8,9,TIDAK ADA,JAKSEL
5500000000,234,115,2,2,ADA,JAKSEL
16590000000,405,495,4,4,ADA,JAKSEL
33500000000,1000,800,5,6,TIDAK ADA,JAKSEL
21000000000,802,904,4,3,ADA,JAKSEL
7720000000,125,298,4,4,ADA,JAKSEL
22000000000,1019,650,4,3,ADA,JAKSEL
18500000000,180,600,4,4,ADA,JAKSEL
16500000000,933,600,5,5,ADA,JAKSEL
11980000000,241,572,4,5,ADA,JAKSEL
8500000000,250,250,4,4,ADA,JAKSEL
7700000000,190,350,3,2,ADA,JAKSEL
4200000000,270,300,4,4,ADA,JAKSEL
15700000000,860,325,5,4,ADA,JAKSEL
17000000000,916,147,5,7,ADA,JAKSEL
8000000000,323,317,5,4,ADA,JAKSEL
9550000000,251,288,3,3,ADA,JAKSEL
7600000000,278,350,4,4,ADA,JAKSEL
10200000000,320,360,6,4,ADA,JAKSEL
5900000000,240,350,4,4,ADA,JAKSEL
6000000000,178,309,4,3,ADA,JAKSEL
10800000000,438,540,6,5,ADA,JAKSEL
55000000000,1500,1200,7,6,ADA,JAKSEL
14000000000,714,750,5,3,TIDAK ADA,JAKSEL
6900000000,358,450,4,3,ADA,JAKSEL
55000000000,1497,1200,5,5,ADA,JAKSEL
17500000000,1056,600,5,5,ADA,JAKSEL
3500000000,100,156,5,4,ADA,JAKSEL
15500000000,340,500,4,4,ADA,JAKSEL
6900000000,188,350,3,3,TIDAK ADA,JAKSEL
16000000000,407,575,5,4,ADA,JAKSEL
11900000000,241,571,4,5,ADA,JAKSEL
7500000000,188,351,3,3,ADA,JAKSEL
40000000000,1500,700,4,4,ADA,JAKSEL
12500000000,371,300,4,4,TIDAK ADA,JAKSEL
11000000000,438,540,8,4,TIDAK ADA,JAKSEL
55000000000,1500,1200,6,6,ADA,JAKSEL
12000000000,512,350,3,4,TIDAK ADA,JAKSEL
6500000000,230,400,4,4,ADA,JAKSEL
13940000000,539,610,4,4,TIDAK ADA,JAKSEL
5700000000,168,170,3,3,TIDAK ADA,JAKSEL
8000000000,350,350,10,5,TIDAK ADA,JAKSEL
6900000000,128,315,3,3,TIDAK ADA,JAKSEL
8000000000,190,420,4,4,ADA,JAKSEL
